Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
B8BCWQW8,journalArticle,2012,"Berhe, Asmeret Asefaw; Suttle, K. Blake; Burton, Sarah D.; Banfield, Jillian F.",Contingency in the direction and mechanics of soil organic matter responses to increased rainfall,Plant and Soil,,"0032-079X, 1573-5036",10.1007/s11104-012-1156-0,http://link.springer.com/article/10.1007/s11104-012-1156-0,"Background and Aims Rainfall is expected to show greater and more variable changes in response to anticipated rising of earth surface temperatures than most other climatic variables, and will be a major driver of ecosystem change. Methods We studied the effects of predicted changes in California’s rainy season for storage and stabilization mechanisms of soil organic matter (SOM). In a controlled and replicated experiment, we amended rainfall over large plots of natural grassland in accordance with alternative scenarios of future climate change. Results We found that increases in annual rainfall have important consequences for soil carbon (C) storage, but that the strength and even direction of these effects depend critically on seasonal timing. Additional rainfall during the winter rainy season led to C loss from soil while additions after the typical rainy season increased soil C content. Analysis of MIneral-Organic Matter (OM) associations reveals a potentially powerful mechanism underlying this difference: increased winter rainfall greatly diminished the role of Fe and Al oxides in SOM stabilization. Dithionite extractable crystalline Fe oxides explained more than 35% of the variability in C storage under ambient control and extended spring rainfall conditions, compared to less than 0.01% under increased winter rainfall. Likewise, poorly crystalline Fe and Al oxides explained more than 25 and 40% of the variability in C storage in the control and extended spring rainfall treatments, respectively, but less than 5% in the increased winter rainfall treatment. Conclusions Increases in annual precipitation identical in amount but at three-month offsets produced opposite effects on soil C storage. Such clear differences in the amount and chemical composition of SOM, and in the vertical distribution of oxides in the soil profile in response to treatment timing carry important implications for the C sequestration trajectory of this ecosystem.",9/1/2012,2/7/2024 6:49,2024-02-07T06:49:21Z,1/19/2013 7:20,371-383,,2-Jan,358,,Plant Soil,,,,,,,,en,,,,,link.springer.com,,,,,,,Changes in rainfall; Ecology; MIneral-Organic Matter (OM) associations; Mechanisms of SOM stabilization; Plant Physiology; Plant Sciences; Soil Science & Conservation; Soil carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG5M7BIB,journalArticle,2012,"Cruz-Martínez, Karelyn; Rosling, Anna; Zhang, Yang; Song, Mingzhou; Andersen, Gary L.; Banfield, Jillian F.",Effect of rainfall-induced soil geochemistry dynamics on grassland soil microbial communities,Applied and Environmental Microbiology,,"0099-2240, 1098-5336",10.1128/AEM.00203-12,http://aem.asm.org/content/early/2012/08/13/AEM.00203-12,"In Mediterranean-type grassland ecosystems, the timing of rainfall events control biogeochemical cycles as well as phenology and productivity of plants and animals. Here, we investigate the effect of short-term (days) soil environmental condition on microbial community structure and composition during a natural wetting and drying cycle. Soil samples were collected from a meadow in Northern California at four time points after the first two rainfall events of the rainy season. We used the 16S rRNA microarrays (PhyloChip) to track changes in bacterial and archaeal community composition. Microbial communities at time points one and three were significantly different than communities at time points two and four. Based on ordination analysis, available carbon, soil moisture and temperature explained most of the variation in community structure. For the first time, a complementary and more comprehensive approach using linear regression (LR) and generalized logical networks (GLN) were used to identify linear and non-linear associations among environmental variables and with the relative abundance of sub-families. Changes in soil moisture and available carbon were correlated with the relative abundance of many Phyla. Only the phylum Actinobacteria showed a lineage specific relationship to soil moisture but not to carbon or nitrogen. The results indicate that use of high taxonomic rank in correlations with nutritional indicators might obscure divergent sub-family-level responses to environmental parameters. An important implication of this research is that there is short-term variation in microbial community composition driven in part by rainfall fluctuation that may not be evident in long-term studies with coarser time resolution.",8/17/2012,2/7/2024 6:49,2024-02-07T06:49:21Z,1/19/2013 7:26,,,,,,Appl. Environ. Microbiol.,,,,,,,,en,,,,,aem.asm.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4M3TEAJ,journalArticle,2012,"Kim, Hyojin; Bishop, James K. B.; Wood, Todd J.; Fung, Inez Y.",Autonomous Water Sampling for Long-Term Monitoring of Trace Metals in Remote Environments,Environmental Science & Technology,,0013-936X,10.1021/es3006404,http://dx.doi.org/10.1021/es3006404,"A remotely controlled autonomous method for long-term high-frequency sampling of environmental waters in remote locations is described. The method which preserves sample integrity of dissolved trace metals and major ions for month-long periods employs a gravitational filtration system (GFS) that separates dissolved and particulate phases as samples are collected. The key elements of GFS are (1) a modified ?air-outlet? filter holder to maximize filtration rate and thus minimize filtration artifacts; and (2) the direct delivery of filtrate to dedicated bottle sets for specific analytes. Depth and screen filter types were evaluated with depth filters showing best performance. GFS performance is validated using ground, stream, and estuary waters. Over 30 days of storage, samples with GFS treatment had average recoveries of 95 ± 19% and 105 ± 7% of Fe and Mn, respectively; without GFS treatment, average recoveries were only 16% and 18%. Dissolved major cations K, Mg, and Na were stable independent of collection methodology, whereas Ca in some groundwater samples decreased up to 42% without GFS due to CaCO3 precipitation. In-field performance of GFS equipped autosamplers is demonstrated using ground and streamwater samples collected at the Angelo Coast Range Reserve, California from October 3 to November 4 2011.",10/16/2012,2/7/2024 6:49,2024-02-07T06:49:21Z,3/31/2014 5:29,11220-11226,,20,46,,Environ. Sci. Technol.,,,,,,,,,,,,,ACS Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBJFS3V6,journalArticle,2012,"Kupferberg, Sarah J.; Palen, Wendy J.; Lind, Amy J.; Bobzien, Steve; Catenazzi, Alessandro; Drennan, Joe; Power, Mary E.","Effects of Flow Regimes Altered by Dams on Survival, Population Declines, and Range-Wide Losses of California River-Breeding Frogs",Conservation Biology,,1523-1739,10.1111/j.1523-1739.2012.01837.x,http://onlinelibrary.wiley.com/doi/10.1111/j.1523-1739.2012.01837.x/abstract,"Abstract: Widespread alteration of natural hydrologic patterns by large dams combined with peak demands for power and water delivery during summer months have resulted in frequent aseasonal flow pulses in rivers of western North America. Native species in these ecosystems have evolved with predictable annual flood-drought cycles; thus, their likelihood of persistence may decrease in response to disruption of the seasonal synchrony between stable low-flow conditions and reproduction. We evaluated whether altered flow regimes affected 2 native frogs in California and Oregon (U.S.A.) at 4 spatial and temporal extents. We examined changes in species distribution over approximately 50 years, current population density in 11 regulated and 16 unregulated rivers, temporal trends in abundance among populations occupying rivers with different hydrologic histories, and within-year patterns of survival relative to seasonal hydrology. The foothill yellow-legged frog (Rana boylii), which breeds only in flowing water, is more likely to be absent downstream of large dams than in free-flowing rivers, and breeding populations are on average 5 times smaller in regulated rivers than in unregulated rivers. Time series data (range = 8 − 19 years) from 5 populations of yellow-legged frogs and 2 populations of California red-legged frogs (R. draytonii) across a gradient of natural to highly artificial timing and magnitude of flooding indicate that variability of flows in spring and summer is strongly correlated with high mortality of early life stages and subsequent decreases in densities of adult females. Flow management that better mimics natural flow timing is likely to promote persistence of these species and others with similar phenology.",2012,2/7/2024 6:49,2024-02-07T06:49:21Z,1/19/2013 7:36,513–524,,3,26,,,,,,,,,,en,©2012 Society for Conservation Biology,,,,Wiley Online Library,,,,,,,Rana boylii; Rana draytonii; declinaciones de anfibios; energía hidroeléctrica; flujos en pulsaciones; régimen de flujo natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EALXPZFS,journalArticle,2012,"Yarnell, S. M.; Lind, A. J.; Mount, J. F.",Dynamic flow modelling of riverine amphibian habitat with application to regulated flow management,River Research and Applications,,1535-1467,10.1002/rra.1447,http://onlinelibrary.wiley.com/doi/10.1002/rra.1447/abstract,"In regulated rivers, relicensing of hydropower projects can provide an opportunity to change flow regimes and reduce negative effects on sensitive aquatic biota. The volume of flow, timing and ramping rate of spring spills, and magnitude of aseasonal pulsed flows have potentially negative effects on the early life stages of amphibians, such as the Foothill yellow-legged frog (Rana boylii). Two-dimensional hydrodynamic modeling is one method to evaluate potential effects of flow variation on frog egg masses and tadpoles. We explored the usefulness of this technique by modeling habitat suitability under several pulsed flow scenarios in two river reaches in northern California, USA. We conducted analyses beyond simple weighted usable area calculations, such as quantifying the risk of scour or stranding, in order to quantify potential loss under different flow scenarios. The modeling results provided information on potential susceptibility to flow fluctuations as well as the influence of channel morphology on habitat suitability. Under each flow scenario, low percentages of suitable habitat remained suitable or were ‘buffered’ from the pulse, creating high potential for scour of egg masses or tadpoles. However, due to differences in channel morphologies, the wide, shallow study site provided 2-3 times the buffering capacity of the entrenched study site.Additional analyses suggested that limited buffering capacity and lack of connectivity between suitable egg mass and tadpole habitats may explain why some hydraulically suitable habitats are unoccupied. This type of model-based analysis would be useful for managing foothill yellow-legged frogs or similar aquatic species in regulated river systems. Copyright © 2010 John Wiley & Sons, Ltd.",2012,2/7/2024 6:49,2024-02-07T06:49:21Z,1/19/2013 7:30,177–191,,2,28,,,,,,,,,,en,"Copyright © 2010 John Wiley & Sons, Ltd.",,,,Wiley Online Library,,,,,,,Rana boylii; River2D; foothill yellow-legged frog; instream flows; pulsed flows; regulated rivers; two-dimensional hydrodynamic modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U3XM8S8Z,journalArticle,2013,"Hondzo, Miki; Voller, Vaughan R.; Morris, Mark; Foufoula-Georgiou, Efi; Finlay, Jacques; Ganti, Vamsi; Power, Mary E.",Estimating and scaling stream ecosystem metabolism along channels with heterogeneous substrate,Ecohydrology,,1936-0592,10.1002/eco.1391,https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1391,"Measured diurnal curves of dissolved oxygen (DO) concentration have been used to estimate the gross primary production (GPP), ecosystem respiration (R), and net ecosystem production (NP) of aquatic communities. Open-system one-station and two-station methods have been employed to estimate the rate of NP, R, and GPP. We conducted field measurements in Minnehaha Creek, MN (44o56'N, 93o28'W), to quantify the spatial and temporal variabilities of DO concentrations and, consequently, evaluated the estimates of NP. Dimensionless analysis of DO mass balance revealed the dominance of local photosynthesis over respiration, advection, re-aeration, and dispersion along the studied reach. Two alternative estimation methods of stream metabolism provided similar estimates of NP with 0.65 > kaTa > 0.17 within the studied reach where ka is the re-aeration rate and Ta is the water parcel average travel time. The spatial variability of DO change along the creek revealed an average length scale of 10 m over which DO exhibited significant autocorrelation. The autotrophic–heterotrophic balance, quantified by GPP to R ratio, scaled with local stream geomorphic and hydraulic conditions from diverse geographic areas, providing useful predictive relationships expressed in terms of easily measurable abiotic parameters. Copyright © 2013 John Wiley & Sons, Ltd.",2013,2/7/2024 6:49,2024-02-07T06:49:21Z,2/23/2022 18:25,679-688,,4,6,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/eco.1391,,,,,fluid mechanics; gross primary production; photosynthesis; respiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TZ7SB6Z,journalArticle,2013,"Power, Mary E.; Holomuzki, Joseph R.; Lowe, Rex L.",Food webs in Mediterranean rivers,Hydrobiologia,,1573-5117,10.1007/s10750-013-1510-0,https://doi.org/10.1007/s10750-013-1510-0,"River food webs are subject to two regimes of longitudinally varying ecological control: productivity and disturbance. Light-limited productivity increases as channels widen downstream. Time windows for growth, however, shrink as discharge increases, substrate particle size decreases, and the frequency of flood-driven bed mobilization increases downstream. Mediterranean rivers are periodically reset by hydrologic events with somewhat predictable timing. Typically, a rainy winter with high river discharge is followed by summer drought with little or no rainfall and slowly declining river flow. The magnitude and timing of winter floods and severity of subsequent summer drought can vary considerably from year to year, however. Episodic scouring floods or prolonged periods of drought are experienced as disturbances, stressors, or opportunities by river biota. The timing, duration, and intensity of these hydrologic controls affect performances of individuals, distribution and abundances of populations, and outcomes and consequences of species interactions. These interactions in turn determine how river food webs will assemble, develop, and reconfigure after disturbance. We discuss how spatial variation in solar radiation and spatial and temporal variations in disturbance affects river food webs under Mediterranean climate seasonality, focusing primarily on long-term observations in the Eel River of northwestern California, USA.",11/1/2013,2/7/2024 6:49,2024-02-07T06:49:21Z,2/18/2022 16:21,119-136,,1,719,,Hydrobiologia,,,,,,,,en,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y6DALY64,report,2014,National Research Council,Enhancing the Value and Sustainability of Field Stations and Marine Laboratories in the 21st Century,,,,,https://www.nap.edu/catalog/18806/enhancing-the-value-and-sustainability-of-field-stations-and-marine-laboratories-in-the-21st-century,"For over a century, field stations have been important entryways for scientists to study and make important discoveries about the natural world. They are centers of research, conservation, education, and public outreach, often embedded in natural environments that range from remote to densely populated urban locations. Because they lack traditional university departmental boundaries, researchers at field stations have the opportunity to converge their science disciplines in ways that can change careers and entire fields of inquiry. Field stations provide physical space for immersive research, hands-on learning, and new collaborations that are otherwise hard to achieve in the everyday bustle of research and teaching lives on campus. But the separation from university campuses that allows creativity to flourish also creates challenges. Sometimes, field stations are viewed as remote outposts and are overlooked because they tend to be away from population centers and their home institutions. This view is exacerbated by the lack of empirical evidence that can be used to demonstrate their value to science and society. Enhancing the Value and Sustainability of Field Stations and Marine Laboratories in the 21st Century summarizes field stations' value to science, education, and outreach and evaluates their contributions to research, innovation, and education. This report suggests strategies to meet future research, education, outreach, infrastructure, funding, and logistical needs of field stations. Today's technologies - such as streaming data, remote sensing, robot-driven monitoring, automated DNA sequencing, and nanoparticle environmental sensors - provide means for field stations to retain their special connection to nature and still interact with the rest of the world in ways that can fuel breakthroughs in the environmental, physical, natural, and social sciences. The intellectual and natural capital of today's field stations present a solid platform, but many need enhancements of infrastructure and dynamic leadership if they are to meet the challenges of the complex problems facing the world. This report focuses on the capability of field stations to address societal needs today and in the future.",2014,2/7/2024 6:49,2024-02-07T06:49:21Z,2/17/2022 21:19,,,,,,,,,,,,The National Academies Press,"Washington, DC",English,,,,,National Academies Press,,DOI: 10.17226/18806,,,,,Biology and Life Sciences; Education; Environment and Environmental Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXCZZP93,journalArticle,2014,"Rempe, Daniella M.; Dietrich, William E.",A bottom-up control on fresh-bedrock topography under landscapes,Proceedings of the National Academy of Sciences,,"0027-8424, 1091-6490",10.1073/pnas.1404763111,https://www.pnas.org/content/111/18/6576,"The depth to unweathered bedrock beneath landscapes influences subsurface runoff paths, erosional processes, moisture availability to biota, and water flux to the atmosphere. Here we propose a quantitative model to predict the vertical extent of weathered rock underlying soil-mantled hillslopes. We hypothesize that once fresh bedrock, saturated with nearly stagnant fluid, is advected into the near surface through uplift and erosion, channel incision produces a lateral head gradient within the fresh bedrock inducing drainage toward the channel. Drainage of the fresh bedrock causes weathering through drying and permits the introduction of atmospheric and biotically controlled acids and oxidants such that the boundary between weathered and unweathered bedrock is set by the uppermost elevation of undrained fresh bedrock, Zb. The slow drainage of fresh bedrock exerts a “bottom up” control on the advance of the weathering front. The thickness of the weathered zone is calculated as the difference between the predicted topographic surface profile (driven by erosion) and the predicted groundwater profile (driven by drainage of fresh bedrock). For the steady-state, soil-mantled case, a coupled analytical solution arises in which both profiles are driven by channel incision. The model predicts a thickening of the weathered zone upslope and, consequently, a progressive upslope increase in the residence time of bedrock in the weathered zone. Two nondimensional numbers corresponding to the mean hillslope gradient and mean groundwater-table gradient emerge and their ratio defines the proportion of the hillslope relief that is unweathered. Field data from three field sites are consistent with model predictions.",5/6/2014,2/7/2024 6:49,2024-02-07T06:49:21Z,2/17/2022 18:13,6576-6581,,18,111,,PNAS,,,,,,,,en,,,,,www.pnas.org,,Publisher: National Academy of Sciences Section: Physical Sciences PMID: 24760824,,,,Bedrock; ERCZO; Hillslope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTPNI7BB,journalArticle,2015,"Dralle, David; Karst, Nathaniel; Thompson, Sally E.","a, b careful: The challenge of scale invariance for comparative analyses in power law models of the streamflow recession",Geophysical Research Letters,,1944-8007,10.1002/2015GL066007,https://onlinelibrary.wiley.com/doi/abs/10.1002/2015GL066007,"The falling limb of the hydrograph—the streamflow recession—is frequently well approximated by power law functions, in the form dq/dt = −aqb, so that recessions are often characterized in terms of their power law parameters (a, b). The empirical determination and interpretation of the parameter a is typically biased by the presence of a ubiquitous mathematical artifact resulting from the scale-free properties of the power law function. This reduces the information available from recession parameter analysis and creates several heretofore unaddressed methodological “pitfalls.” This letter outlines the artifact, demonstrates its genesis, and presents an empirical rescaling method to remove artifact effects from fitted recession parameters. The rescaling process reveals underlying climatic patterns obscured in the original data and, we suggest, could maximize the information content of fitted power laws.",2015,2/7/2024 6:49,2024-02-07T06:49:21Z,2/17/2022 18:05,9285-9293,,21,42,,,"a, b careful",,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/2015GL066007,,,,ERCZO; Streamflow recession; correlation; power law; scaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
